Algorithm 1 in seconds,Algorithm 2 in seconds,Algorithm 3 in seconds
0.0017174249951494858,0.0017160999996121973,0.0011762750000343658
0.012074925005435944,0.014397174993064255,0.0173897249987931
0.040998175005370285,0.04807920000166632,0.0425736000033794
0.092709324992029,0.11653757499152562,0.11950802500359714
0.15711367499898188,0.2216870749980444,0.21545237499958603
0.2868697249869001,0.3978312500039465,0.3467573750021984
0.47233014999801526,0.617169474993716,0.6571626750010182
0.6983468500038725,0.9159315500000957,0.9825070000078995
1.0231882750013028,1.3003165750051267,1.3097134500058019
1.4405216000013752,1.8001650750011322,1.7649394499894697
1.9574283250040025,2.403607625004952,2.2149453750025714
2.572204875003081,3.18915362500411,2.9253331499930937
3.3224224250079715,4.048005850010668,3.7874270749962307
4.071752599993488,5.032368150001275,5.410295000001497
5.028332350004348,6.139449324997258,7.26972537500842
6.138305699998455,7.512170899994089,8.257387149998976
7.2729756249900674,8.818362625010195,9.287196825003775
8.701468150000437,10.697049675007293,10.74856940000609
10.006121125006757,12.591620250001142,11.918521450010303
11.75593244999618,14.614186100006918,13.977680575000704
13.858829774995684,16.87529485000414,15.999365950003266
15.91266817500582,19.615117825000198,18.40986747500574
18.01492354999209,22.2246360249992,20.6490959000148
20.445801524998387,25.280530875003024,23.246588624999276
23.350970375002362,28.562615299990284,26.59281102499517
25.321597225003643,30.806621224997798,30.307112324990158
28.85091165000631,35.26707077498577,35.93026375000045
31.73627174999274,39.11724252500426,42.936677900012
35.50701189999381,43.40747917499539,48.901257474994054
38.93041902498953,48.55697274999693,54.21858620000421
